image src, ratio, largura na pagina, largura real da imagem


 page: https://www.breyers.com/us/en/ 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1201710-us-br-842ml-gelato-vanilla-caramel-32735-top-down-l.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046529-077567283238-topdown-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1099836-077567061539-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1004620-077567254238-top-down-c.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1041819-077567224828-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782877-us-br-cherryvanilla-tub-1-5q-clean-25427.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046681-077567254269-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782850-us-br-1p5qt-lactose-free-vanilla-22700.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169486-breyers-home-video1.jpg.rendition.1280.1280.jpg,1.54,535,347
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169487-breyers-home-video3.jpg.rendition.767.767.jpg,1.54,535,347
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/d439dbff-09c0-40e4-88f7-79632d55f2f9.png,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/96f24bcd-a59f-42d7-86d7-07ab0b95340f.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/6f6e3556-1c67-4a9b-b549-7e647957045f.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/4a69a104-81de-43ad-ac71-3af189153603.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/c9576d9d-12bd-4caa-af78-e261ee307333.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/79267cba-3dbc-4cdb-bdc7-3f055df04645.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/41dc4f07-93e2-4974-99c2-2c7bfb68e89d.jpg,0.14,202,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/2dd1c725-dca4-4445-9609-188fe2423998.jpg,0.14,202,1440


 page: https://www.breyers.com/us/en/100-sustainable-vanilla-video.html 



 page: https://www.breyers.com/us/en/2-in-1.html 

